year,"von Schnitzler","an Schnitzler"
1888,-0,0
1889,-0,0
1890,-0,0
1891,-4865,2381
1892,-10340,3709
1893,-16347,6630
1894,-20373,14068
1895,-21609,14767
1896,-14202,6990
1897,-18352,9318
1898,-14211,7724
1899,-16147,10891
1900,-12011,8705
1901,-9523,3802
1902,-2444,665
1903,-5134,3294
1904,-9176,5049
1905,-7716,4689
1906,-2693,979
1907,-6404,7427
1908,-6133,1120
1909,-3951,20131
1910,-8109,8811
1911,-775,1074
1912,-2186,2032
1913,-1315,705
1914,-3739,1406
1915,-520,345
1916,-3363,351
1917,-4909,2284
1918,-1816,849
1919,-0,366
1920,-1112,746
1921,-726,0
1922,-861,0
1923,-1825,220
1924,-4676,0
1925,-493,0
1926,-268,1015
1927,-504,1102
1928,-102,0
1929,-0,1729
1930,-0,250
1931,-343,305
