year,"von Schnitzler","an Schnitzler"
1888,-0,0
1889,-0,0
1890,-0,0
1891,-0,0
1892,-0,0
1893,-0,0
1894,-2575,621
1895,-0,0
1896,-2937,1481
1897,-9605,4589
1898,-5684,2492
1899,-9903,8784
1900,-4985,3753
1901,-7707,5548
1902,-0,0
1903,-0,0
1904,-0,72
1905,-0,0
1906,-4325,2251
1907,-0,0
1908,-4785,2043
1909,-0,210
1910,-0,1524
1911,-5352,6061
1912,-817,2046
1913,-2333,1388
1914,-8706,4737
1915,-10685,4612
1916,-0,0
1917,-0,2411
1918,-4148,3325
1919,-0,0
1920,-7700,4028
1921,-1301,0
1922,-8414,2833
1923,-0,1570
1924,-6581,2758
1925,-7593,7121
1926,-1946,2369
1927,-0,0
1928,-0,0
1929,-0,0
1930,-0,0
1931,-0,0
